1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,No busco inspiración,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Información desactualizada,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Auténtica
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,3 veces,4 veces o más,Google,Me ayudan a ahorrar tiempo,Cercanía / ubicación,4.0,2.0,Seguridad,Recomendaciones poco confiables,3.0,Recomendaciones locales confiables,Información falsa o incompleta,Confiable 
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso",Que tenga recomendaciones de locales y verías experiencias que no debes perderte 
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,1 vez,Viaje Familiar,Recomendaciones de amigos / familia,Evito apps que parecen publicidad disfrazada,Precio,4.0,4.0,Seguridad,Falta de información en el momento exacto,4.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Fidelidad 
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,Otro,La información suele ser clara y actualizada,Opiniones de otros usuarios,4.0,4.0,Recomendaciones cercanas,Información desactualizada,4.0,Información verificada,Información falsa o incompleta,Eficiencia y credibilidad 
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,1 vez,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,5.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Confiabilidad 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Gastronomía,Google,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,5.0,Eventos o actividades del día,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Confiable y fácil de usar
"Estado de México, México",,18–29 años,Mujer,Una vez al año,2 veces,4 veces o más,Redes Sociales,Confío en sus recomendaciones,Recomendación local,4.0,3.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,Información falsa o incompleta,Sinceramente no descargaría una aplicación que solo utilizaría 1 o 2 veces por año
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,2 veces,Aventura,Redes Sociales,Evito apps que parecen publicidad disfrazada,Cercanía / ubicación,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Uso sin conexión,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso","Obtener seguridad, información y rutas reales para llegar al destino "
"Morelos, México",,30–39 años,Hombre,Varias veces al año,3 veces,Cultura / Historia,Redes Sociales,Me generan seguridad para tomar decisiones,Recomendación local,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confiabilidad 
