1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Información verificada,Información falsa o incompleta,Que tenga toda la información necesaria y actualizada
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Información verificada,Exceso de publicidad,Que sea confiable
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Que sea la alternativa a las redes sociales con información veridi
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,Me generan seguridad para tomar decisiones,Precio,4.0,4.0,Eventos o actividades del día,Poca visibilidad de comercios locales,,Comercios y servicios cercanos,Mala experiencia de uso,
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,Google,Evito apps que parecen publicidad disfrazada,Recomendación local,5.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,"Exceso de publicidad, Mala experiencia de uso",
"Ciudad de México, México",,40–49 años,Hombre,Muy rara vez,1 vez,Gastronomía,No busco inspiración,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Rutas sugeridas,"Exceso de publicidad, Mala experiencia de uso",
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Seguridad,Información desactualizada,5.0,Rutas sugeridas,Mala experiencia de uso,Información veridica
"Tlaxcala, México",,50–59 años,Mujer,Una vez al año,3 veces,Naturaleza,Redes Sociales,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,4.0,Eventos o actividades del día,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable 
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Eventos o actividades del día,Demasiadas opciones sin guía,5.0,Uso sin conexión,Falta de valor real,Que si se pueda usar sin conexión a Internet 
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Otro,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Comercios y servicios cercanos,"Exceso de publicidad, Mala experiencia de uso",Que abarque todos los municipios aunque no tengan pueblos mágicos 
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Recomendación local,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Rutas sugeridas,Falta de valor real,Que este actualizado y basado en el turismo con recomendaciones reales.
"Ciudad de México, México",,50–59 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confianza 
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,1 vez,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,4.0,Eventos o actividades del día,Recomendaciones poco confiables,5.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Una buena experiencia 
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,1.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad",Que se pueda utilizar sin internet
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,2 veces,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Seguridad
"Estado de México, México",,18–29 años,Hombre,Una vez al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,1 vez,Aventura,Google,Me ayudan a ahorrar tiempo,Recomendación local,5.0,3.0,Mapas y rutas,Falta de información en el momento exacto,1.0,Eventos y experiencias locales,"Exceso de publicidad, Información falsa o incompleta",Vengo de CdMx y prefiero investigar por mi cuenta
"Tabasco, México",,18–29 años,Hombre,Esporádicamente,1 vez,Naturaleza,Google,La información suele ser clara y actualizada,Fotos reales,5.0,4.0,Eventos o actividades del día,Información desactualizada,5.0,Información verificada,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",INTERESANTE
"Ciudad de México, México",,30–39 años,Mujer,Una vez al año,1 vez,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Eventos y experiencias locales,Exceso de publicidad,
"Tlaxcala, México",,40–49 años,Hombre,Varias veces al año,1 vez,4 veces o más,Google,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,5.0,1.0,Mapas y rutas,Recomendaciones poco confiables,1.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que la app no ocupe mucha memoria para que pueda descargarla con facilidad
"Ciudad de México, México",,50–59 años,Hombre,Esporádicamente,1 vez,4 veces o más,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Cercanía / ubicación,5.0,5.0,Información offline,Información desactualizada,1.0,Uso sin conexión,"No confiar en las recomendaciones, Falta de valor real, Exceso de publicidad",Sería de mucha utilidad que la aplicación se pueda usar sin Internet ya que en lugares con naturaleza a falla bastante la señal
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Hombre,Una vez al año,4 veces o más,4 veces o más,Otro,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso",
"Estado de México, México",,18–29 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,Redes Sociales,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable 
"Hidalgo, México","Alfajayucan, Hidalgo, México",30–39 años,Mujer,Muy rara vez,2 veces,Viaje Familiar,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,3.0,5.0,Mapas y rutas,Información desactualizada,3.0,Eventos y experiencias locales,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Apoyo a la economía local. 
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Rutas sugeridas,"Mala experiencia de uso, Información falsa o incompleta, No confiar en las recomendaciones",Que fumcione
"Hidalgo, México","Mineral de la Reforma, Hidalgo, México",40–49 años,Hombre,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,3.0,Información verificada,Información falsa o incompleta,Buena aplicación facil uso
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,2 veces,Cultura / Historia,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Eventos o actividades del día,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Facil 
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,Información falsa o incompleta,Buenas recomendaciones 
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",50–59 años,Mujer,Esporádicamente,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,2.0,5.0,Seguridad,Falta de información en el momento exacto,3.0,Información verificada,Falta de valor real,"Que la información
Sea real"
"Chihuahua, México",,30–39 años,Hombre,Una vez al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Información desactualizada,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones, Exceso de publicidad, Falta de valor real",Que lo que te ofrezca sea real y sea fácil su uso
"Ciudad de México, México",,18–29 años,Mujer,Muy rara vez,3 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Información offline,Falta de información en el momento exacto,4.0,Eventos y experiencias locales,"Información falsa o incompleta, Falta de valor real, Exceso de publicidad",Que sea real
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Rutas sugeridas,Exceso de publicidad,Que me de rutas y precios 
"Jalisco, México",,40–49 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Queme faciliten tomar decisiones co. La i formación que me proporcione
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,4.0,Horarios actualizados,Falta de información en el momento exacto,4.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Buenas recomendaciones con información real
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Sencilla de utilizar, recomendaciones de lugares verificados "
"Hidalgo, México","Tulancingo de Bravo, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,4.0,4.0,Eventos o actividades del día,Falta de información en el momento exacto,4.0,Rutas sugeridas,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que de información certera 
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Otro,Me generan seguridad para tomar decisiones,Que no parezca patrocinada,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Información verificada,"Falta de valor real, Información falsa o incompleta, Mala experiencia de uso",Que sea confiable 
"Estado de México, México",,30–39 años,Hombre,Una vez al año,1 vez,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Seguridad,Información desactualizada,5.0,Información verificada,"Falta de valor real, Información falsa o incompleta, No confiar en las recomendaciones",Que sea  confiable y actualizada y que nos informe si está abierto o no
"Estado de México, México",,50–59 años,Mujer,Una vez al año,1 vez,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Que se trate de una plataforma oficial,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que sea confiable y verídica 
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Información verificada,"No confiar en las recomendaciones, Información falsa o incompleta, Mala experiencia de uso",Que sea confiable y segura 
"Hidalgo, México","Mixquiahuala de Juárez, Hidalgo, México",18–29 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que sea Verídica y funcional
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Fotos reales,4.0,5.0,Horarios actualizados,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,Mala experiencia de uso,Información confiable 
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,Gastronomía,Redes Sociales,Confío en sus recomendaciones,Fotos reales,4.0,5.0,Horarios actualizados,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Que muestrebrecomendaciones reales
"Hidalgo, México","Zacualtipán de Ángeles, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,Google,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,4.0,4.0,Eventos o actividades del día,Recomendaciones poco confiables,3.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Hola 
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Precio,4.0,4.0,Horarios actualizados,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,Mala experiencia de uso,Que este actualizado
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,5.0,Horarios actualizados,Falta de información en el momento exacto,4.0,Información verificada,Falta de valor real,Que sea confiable 
"Estado de México, México",,50–59 años,Mujer,Una vez al año,2 veces,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Recomendación local,3.0,2.0,Horarios actualizados,Recomendaciones poco confiables,3.0,Información verificada,Información falsa o incompleta,Que este verificada la información 
"Hidalgo, México","Atitalaquia, Hidalgo, México",60 años o más,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,3.0,Mapas y rutas,Información desactualizada,2.0,Rutas sugeridas,Exceso de publicidad,Que sea confiable 
"Estado de México, México",,50–59 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Que se trate de una plataforma oficial,4.0,4.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,
"Durango, México",,50–59 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,Otro,La información suele ser clara y actualizada,Que se trate de una plataforma oficial,4.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Ciudad de México, México",,18–29 años,Hombre,Una vez al año,1 vez,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Rutas sugeridas,Mala experiencia de uso,Rutas y caminos confiables
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,4 veces o más,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,4.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso",Guia y ruta de rutinas
"Guanajuato, México",,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,Otro,Me generan seguridad para tomar decisiones,Que se trate de una plataforma oficial,5.0,5.0,Información offline,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Hidalgo, México","Apan, Hidalgo, México",60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Recomendación local,5.0,5.0,Horarios actualizados,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",
"Hidalgo, México","Progreso de Obregón, Hidalgo, México",50–59 años,Mujer,Muy rara vez,2 veces,Viaje Familiar,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Precio,4.0,3.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Caridad 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",40–49 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,2.0,2.0,Seguridad,Información desactualizada,3.0,Información verificada,Exceso de publicidad,Veracidad de la información 
"Hidalgo, México","Tula de Allende, Hidalgo, México",18–29 años,Hombre,Muy rara vez,4 veces o más,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Cercanía / ubicación,1.0,1.0,Seguridad,Poca visibilidad de comercios locales,2.0,Información verificada,Exceso de publicidad,Detallado  la información 
"Hidalgo, México","Tepeji del Río de Ocampo, Hidalgo, México",30–39 años,Mujer,Esporádicamente,3 veces,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad
"Hidalgo, México","Francisco I. Madero, Hidalgo, México",30–39 años,Mujer,Muy rara vez,2 veces,Viaje Familiar,Redes Sociales,La información suele ser clara y actualizada,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Confianza
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,Otro,Me ayudan a ahorrar tiempo,Recomendación local,4.0,4.0,Horarios actualizados,Falta de información en el momento exacto,3.0,Información verificada,Mala experiencia de uso,Que tengas fotos actualizadas por que al momento de ir luegonloshprarios no son los que se dicen ser
"Estado de México, México",,50–59 años,Mujer,Una vez al año,1 vez,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Recomendación local,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Información verificada,"Exceso de publicidad, Información falsa o incompleta",Que de precios y recomiende lo mejor
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Fotos reales,4.0,5.0,Horarios actualizados,Recomendaciones poco confiables,5.0,Eventos y experiencias locales,Exceso de publicidad,Que sea confiable 
"Ciudad de México, México",,18–29 años,Hombre,Una vez al año,2 veces,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Horarios actualizados,Demasiadas opciones sin guía,4.0,Rutas sugeridas,"Información falsa o incompleta, Falta de valor real, Exceso de publicidad",Que tenga datos actualizados 
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Uso sin conexión,"Mala experiencia de uso, Falta de valor real","Promociones, información actualizada personalizacion del perfil"
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,3 veces,Cultura / Historia,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Eventos o actividades del día,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",Que tengan datos actualizados 
"Hidalgo, México","Atotonilco el Grande, Hidalgo, México",18–29 años,Mujer,,3 veces,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,4.0,5.0,Horarios actualizados,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones",Queso sea confiable 
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Recomendaciones cercanas,Demasiadas opciones sin guía,5.0,Rutas sugeridas,"Mala experiencia de uso, Información falsa o incompleta",Que pueda subir fotos y mis propias recomendaciones o comentarios 
"Hidalgo, México","Tepeji del Río de Ocampo, Hidalgo, México",30–39 años,Hombre,Esporádicamente,2 veces,Gastronomía,Otro,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,3.0,Seguridad,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Vive tu experiencia en hidalgo 
"Ciudad de México, México",,18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Precio,4.0,3.0,Seguridad,Información desactualizada,4.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Seriedad 
"Hidalgo, México","Atitalaquia, Hidalgo, México",30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Comercios y servicios cercanos,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad
"Hidalgo, México","Atlapexco, Hidalgo, México",18–29 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,3.0,Seguridad,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Claridad
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",30–39 años,Hombre,Esporádicamente,4 veces o más,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Recomendación local,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza
"Hidalgo, México","Tizayuca, Hidalgo, México",18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Cercanía / ubicación,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,3.0,Eventos y experiencias locales,Información falsa o incompleta,Confiable 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,2.0,2.0,Seguridad,Falta de información en el momento exacto,2.0,Comercios y servicios cercanos,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que tenga recomendaciones de personas ajenas al gobierno y más apegada a la realidad 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Recomendaciones cercanas,Poca visibilidad de comercios locales,5.0,Eventos y experiencias locales,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso","Eficiente, clara y que tenga acceso a personas mayores"
"Ciudad de México, México",,18–29 años,Mujer,Esporádicamente,2 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Que no parezca patrocinada,5.0,5.0,Horarios actualizados,Demasiadas opciones sin guía,5.0,Comercios y servicios cercanos,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Confiable 
"Ciudad de México, México",,50–59 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,3.0,3.0,Eventos o actividades del día,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Información certera, recomendaciones fidedigna, rutas señalizado."
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",40–49 años,Hombre,Una vez al año,1 vez,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Información verificada,Información falsa o incompleta,Que  sea segura 
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,2 veces,Cultura / Historia,Google,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Información verificada,Mala experiencia de uso,Que sea muy segura  y confiable 
